project,pattern_cls,aff_files_count,sloc_aff_files_percent,threshold
L-16.0,UD3,1,0.0,1
L-16.0,UD4,2,0.0,1
L-16.0,UD5,24,12.5,1
L-16.0,CD2,24,4.17,1
L-16.0,CD3,7,14.29,1
L-16.0,CD4,85,7.06,1
O-13.0,ID1,47,14.89,1
O-13.0,ID2,16,6.25,1
O-13.0,ID4,91,12.09,1
O-12.0,ID1,36,11.11,1
O-12.0,ID2,11,18.18,1
O-12.0,ID3,1,0.0,1
O-12.0,ID4,84,14.29,1
O-12.0,UD3,1,0.0,1
O-12.0,UD5,2,0.0,1
O-12.0,CD1,2,50.0,1
O-12.0,CD3,2,50.0,1
O-12.0,CD4,36,16.67,1
O-11,ID1,170,8.82,1
O-11,ID2,28,7.14,1
O-11,ID3,1,0.0,1
O-11,ID4,318,9.43,1
O-11,UD3,9,0.0,1
O-11,UD4,2,0.0,1
O-11,UD5,25,8.0,1
O-11,CD1,6,16.67,1
O-11,CD2,26,3.85,1
O-11,CD3,32,21.88,1
O-11,CD4,217,11.06,1
O-10,ID1,119,8.4,1
O-10,ID2,21,19.05,1
O-10,ID3,2,0.0,1
O-10,ID4,202,9.41,1
O-10,UD3,3,0.0,1
O-10,UD4,2,0.0,1
O-10,UD5,15,6.67,1
O-10,CD1,4,25.0,1
O-10,CD2,16,6.25,1
O-10,CD3,11,27.27,1
O-10,CD4,76,11.84,1
O-9,ID1,95,10.53,1
O-9,ID2,18,16.67,1
O-9,ID3,2,50.0,1
O-9,ID4,150,14.0,1
O-9,UD3,3,66.67,1
O-9,UD4,2,0.0,1
O-9,UD5,3,0.0,1
O-9,CD1,5,20.0,1
O-9,CD2,11,9.09,1
O-9,CD3,11,27.27,1
O-9,CD4,64,12.5,1
I-E,ID1,675,8.89,1
I-E,ID2,44,25.0,1
I-E,ID3,23,39.13,1
I-E,ID4,1141,6.05,1
I-E,UD1,2010,7.92,1
I-E,UD3,81,28.4,1
I-E,UD4,13,30.77,1
I-E,UD5,358,13.45,1
I-E,CD3,243,20.81,1
I-E,CD4,1214,7.86,1
I-D,ID1,799,8.14,1
I-D,ID2,80,28.75,1
I-D,ID3,27,40.74,1
I-D,ID4,1311,5.57,1
I-D,UD1,2048,7.98,1
I-D,UD3,107,27.1,1
I-D,UD4,13,30.77,1
I-D,UD5,366,14.52,1
I-D,CD3,321,21.05,1
I-D,CD4,1284,7.71,1
I-C,ID1,778,8.35,1
I-C,ID2,76,27.63,1
I-C,ID3,27,40.74,1
I-C,ID4,1285,5.68,1
I-C,UD1,1985,7.97,1
I-C,UD3,106,27.36,1
I-C,UD4,13,30.77,1
I-C,UD5,356,13.04,1
I-C,CD3,309,21.74,1
I-C,CD4,1242,7.84,1
I-B,ID1,772,7.9,1
I-B,ID2,89,23.6,1
I-B,ID3,30,36.67,1
I-B,ID4,1317,5.47,1
I-B,UD1,1946,7.75,1
I-B,UD3,93,27.96,1
I-B,UD4,12,25.0,1
I-B,UD5,333,13.29,1
I-B,CD3,304,20.97,1
I-B,CD4,1203,7.55,1
I-A,ID1,673,7.88,1
I-A,ID2,70,21.43,1
I-A,ID3,23,26.09,1
I-A,ID4,1136,5.19,1
I-A,UD1,1305,7.45,1
I-A,UD3,82,28.05,1
I-A,UD4,12,25.0,1
I-A,UD5,165,12.5,1
I-A,CD3,246,20.51,1
I-A,CD4,984,7.36,1
A-T,ID1,117,42.74,5
A-T,ID2,21,38.1,5
A-T,ID4,268,41.79,5
A-T,UD3,7,42.86,5
A-T,UD4,2,0.0,5
A-T,UD5,10,30.0,5
A-T,CD3,7,14.29,5
A-S,ID1,619,22.29,5
A-S,ID2,313,17.89,5
A-S,ID3,15,40.0,5
A-S,ID4,1185,18.06,5
A-S,UD3,46,41.3,5
A-S,UD4,2,0.0,5
A-S,UD5,171,26.32,5
A-S,CD1,15,13.33,5
A-S,CD2,100,6.0,5
A-S,CD3,108,24.07,5
A-S,CD4,466,27.47,5
A-R,ID1,97,38.14,5
A-R,ID2,13,7.69,5
A-R,ID3,1,100.0,5
A-R,ID4,290,30.69,5
A-R,UD3,5,40.0,5
A-R,UD4,2,0.0,5
A-R,UD5,16,43.75,5
A-R,CD1,2,0.0,5
A-R,CD2,14,0.0,5
A-R,CD3,23,56.52,5
A-R,CD4,130,47.69,5
A-Q,ID1,94,30.85,5
A-Q,ID2,10,0.0,5
A-Q,ID3,2,50.0,5
A-Q,ID4,182,35.71,5
A-Q,UD3,3,0.0,5
A-Q,UD4,2,0.0,5
A-Q,UD5,7,14.29,5
A-Q,CD2,11,0.0,5
A-Q,CD3,19,42.11,5
A-Q,CD4,22,31.82,5
C-13,ID1,41,51.22,5
C-13,ID2,9,33.33,5
C-13,ID4,96,41.67,5
C-13,UD3,1,0.0,5
C-13,UD5,4,25.0,5
C-12,ID1,30,43.33,5
C-12,ID2,6,0.0,5
C-12,ID4,65,32.31,5
C-12,UD5,15,33.33,5
C-12,CD1,3,0.0,5
C-12,CD2,4,25.0,5
C-12,CD4,1,100.0,5
C-11,ID1,27,40.74,5
C-11,ID2,2,0.0,5
C-11,ID4,81,35.8,5
C-11,UD5,13,38.46,5
C-11,CD1,3,0.0,5
C-11,CD2,3,33.33,5
C-11,CD4,7,71.43,5
L-20.0,ID1,85,41.18,5
L-20.0,ID2,34,41.18,5
L-20.0,ID4,155,34.84,5
L-20.0,UD3,3,33.33,5
L-20.0,UD5,2,50.0,5
L-19.1,ID1,111,36.94,5
L-19.1,ID2,41,34.15,5
L-19.1,ID3,1,0.0,5
L-19.1,ID4,193,31.09,5
L-19.1,UD1,87,33.33,5
L-19.1,UD3,3,33.33,5
L-19.1,UD4,2,0.0,5
L-19.1,UD5,26,38.46,5
L-19.1,CD1,3,0.0,5
L-19.1,CD2,26,3.85,5
L-19.1,CD3,6,16.67,5
L-19.1,CD4,71,32.39,5
L-18.1,ID1,110,37.27,5
L-18.1,ID2,39,30.77,5
L-18.1,ID3,1,0.0,5
L-18.1,ID4,200,32.0,5
L-18.1,UD1,96,39.58,5
L-18.1,UD3,3,66.67,5
L-18.1,UD4,2,0.0,5
L-18.1,UD5,25,52.0,5
L-18.1,CD1,3,0.0,5
L-18.1,CD2,25,8.0,5
L-18.1,CD3,6,16.67,5
L-18.1,CD4,96,34.38,5
L-17.1,ID1,115,38.26,5
L-17.1,ID2,31,22.58,5
L-17.1,ID3,2,50.0,5
L-17.1,ID4,228,31.14,5
L-17.1,UD3,5,60.0,5
L-17.1,UD4,2,0.0,5
L-17.1,UD5,38,31.58,5
L-17.1,CD2,25,4.0,5
L-17.1,CD3,7,28.57,5
L-17.1,CD4,109,34.86,5
L-16.0,ID1,99,35.35,5
L-16.0,ID2,25,36.0,5
L-16.0,ID3,2,50.0,5
L-16.0,ID4,211,30.81,5
L-16.0,UD3,1,100.0,5
L-16.0,UD4,2,0.0,5
L-16.0,UD5,24,33.33,5
L-16.0,CD2,24,8.33,5
L-16.0,CD3,7,14.29,5
L-16.0,CD4,85,25.88,5
O-13.0,ID1,47,31.91,5
O-13.0,ID2,16,25.0,5
O-13.0,ID4,91,30.77,5
O-12.0,ID1,36,30.56,5
O-12.0,ID2,11,36.36,5
O-12.0,ID3,1,0.0,5
O-12.0,ID4,84,29.76,5
O-12.0,UD3,1,0.0,5
O-12.0,UD5,2,50.0,5
O-12.0,CD1,2,50.0,5
O-12.0,CD3,2,50.0,5
O-12.0,CD4,36,27.78,5
O-11,ID1,170,31.18,5
O-11,ID2,28,21.43,5
O-11,ID3,1,100.0,5
O-11,ID4,318,34.59,5
O-11,UD3,9,44.44,5
O-11,UD4,2,0.0,5
O-11,UD5,25,36.0,5
O-11,CD1,6,16.67,5
O-11,CD2,26,7.69,5
O-11,CD3,32,46.88,5
O-11,CD4,217,37.33,5
O-10,ID1,119,28.57,5
O-10,ID2,21,28.57,5
O-10,ID3,2,0.0,5
O-10,ID4,202,30.69,5
O-10,UD3,3,33.33,5
O-10,UD4,2,0.0,5
O-10,UD5,15,13.33,5
O-10,CD1,4,25.0,5
O-10,CD2,16,12.5,5
O-10,CD3,11,27.27,5
O-10,CD4,76,25.0,5
O-9,ID1,95,27.37,5
O-9,ID2,18,27.78,5
O-9,ID3,2,50.0,5
O-9,ID4,150,34.67,5
O-9,UD3,3,66.67,5
O-9,UD4,2,0.0,5
O-9,UD5,3,0.0,5
O-9,CD1,5,20.0,5
O-9,CD2,11,9.09,5
O-9,CD3,11,27.27,5
O-9,CD4,64,25.0,5
I-E,ID1,675,33.48,5
I-E,ID2,44,40.91,5
I-E,ID3,23,69.57,5
I-E,ID4,1141,25.77,5
I-E,UD1,2010,25.42,5
I-E,UD3,81,64.2,5
I-E,UD4,13,61.54,5
I-E,UD5,358,39.77,5
I-E,CD3,243,43.62,5
I-E,CD4,1214,29.83,5
I-D,ID1,799,31.91,5
I-D,ID2,80,48.75,5
I-D,ID3,27,77.78,5
I-D,ID4,1311,24.64,5
I-D,UD1,2048,26.48,5
I-D,UD3,107,61.68,5
I-D,UD4,13,61.54,5
I-D,UD5,366,38.71,5
I-D,CD3,321,46.32,5
I-D,CD4,1284,28.86,5
I-C,ID1,778,32.13,5
I-C,ID2,76,46.05,5
I-C,ID3,27,74.07,5
I-C,ID4,1285,24.75,5
I-C,UD1,1985,26.4,5
I-C,UD3,106,60.38,5
I-C,UD4,13,61.54,5
I-C,UD5,356,37.5,5
I-C,CD3,309,45.65,5
I-C,CD4,1242,28.82,5
I-B,ID1,772,31.48,5
I-B,ID2,89,42.7,5
I-B,ID3,30,76.67,5
I-B,ID4,1317,23.61,5
I-B,UD1,1946,25.62,5
I-B,UD3,93,63.44,5
I-B,UD4,12,58.33,5
I-B,UD5,333,38.73,5
I-B,CD3,304,45.16,5
I-B,CD4,1203,28.43,5
I-A,ID1,673,32.24,5
I-A,ID2,70,52.86,5
I-A,ID3,23,65.22,5
I-A,ID4,1136,23.77,5
I-A,UD1,1305,26.34,5
I-A,UD3,82,69.51,5
I-A,UD4,12,58.33,5
I-A,UD5,165,38.46,5
I-A,CD3,246,44.87,5
I-A,CD4,984,28.85,5
A-T,ID1,117,56.41,10
A-T,ID2,21,52.38,10
A-T,ID4,268,58.96,10
A-T,UD3,7,71.43,10
A-T,UD4,2,0.0,10
A-T,UD5,10,50.0,10
A-T,CD3,7,71.43,10
A-S,ID1,619,40.55,10
A-S,ID2,313,35.14,10
A-S,ID3,15,46.67,10
A-S,ID4,1185,33.08,10
A-S,UD3,46,60.87,10
A-S,UD4,2,0.0,10
A-S,UD5,171,38.6,10
A-S,CD1,15,13.33,10
A-S,CD2,100,18.0,10
A-S,CD3,108,34.26,10
A-S,CD4,466,47.85,10
A-R,ID1,97,58.76,10
A-R,ID2,13,23.08,10
A-R,ID3,1,100.0,10
A-R,ID4,290,44.83,10
A-R,UD3,5,60.0,10
A-R,UD4,2,0.0,10
A-R,UD5,16,50.0,10
A-R,CD1,2,0.0,10
A-R,CD2,14,14.29,10
A-R,CD3,23,65.22,10
A-R,CD4,130,65.38,10
A-Q,ID1,94,55.32,10
A-Q,ID2,10,20.0,10
A-Q,ID3,2,100.0,10
A-Q,ID4,182,59.89,10
A-Q,UD3,3,33.33,10
A-Q,UD4,2,0.0,10
A-Q,UD5,7,28.57,10
A-Q,CD2,11,0.0,10
A-Q,CD3,19,52.63,10
A-Q,CD4,22,59.09,10
C-13,ID1,41,65.85,10
C-13,ID2,9,44.44,10
C-13,ID4,96,60.42,10
C-13,UD3,1,100.0,10
C-13,UD5,4,50.0,10
C-12,ID1,30,50.0,10
C-12,ID2,6,16.67,10
C-12,ID4,65,47.69,10
C-12,UD5,15,40.0,10
C-12,CD1,3,33.33,10
C-12,CD2,4,25.0,10
C-12,CD4,1,100.0,10
C-11,ID1,27,59.26,10
C-11,ID2,2,0.0,10
C-11,ID4,81,48.15,10
C-11,UD5,13,38.46,10
C-11,CD1,3,33.33,10
C-11,CD2,3,33.33,10
C-11,CD4,7,71.43,10
L-20.0,ID1,85,63.53,10
L-20.0,ID2,34,55.88,10
L-20.0,ID4,155,56.77,10
L-20.0,UD3,3,66.67,10
L-20.0,UD5,2,100.0,10
L-19.1,ID1,111,57.66,10
L-19.1,ID2,41,53.66,10
L-19.1,ID3,1,100.0,10
L-19.1,ID4,193,49.22,10
L-19.1,UD1,87,47.13,10
L-19.1,UD3,3,66.67,10
L-19.1,UD4,2,0.0,10
L-19.1,UD5,26,46.15,10
L-19.1,CD1,3,33.33,10
L-19.1,CD2,26,15.38,10
L-19.1,CD3,6,33.33,10
L-19.1,CD4,71,53.52,10
L-18.1,ID1,110,54.55,10
L-18.1,ID2,39,48.72,10
L-18.1,ID3,1,100.0,10
L-18.1,ID4,200,48.0,10
L-18.1,UD1,96,52.08,10
L-18.1,UD3,3,66.67,10
L-18.1,UD4,2,0.0,10
L-18.1,UD5,25,52.0,10
L-18.1,CD1,3,33.33,10
L-18.1,CD2,25,20.0,10
L-18.1,CD3,6,16.67,10
L-18.1,CD4,96,52.08,10
L-17.1,ID1,115,61.74,10
L-17.1,ID2,31,41.94,10
L-17.1,ID3,2,100.0,10
L-17.1,ID4,228,51.32,10
L-17.1,UD3,5,80.0,10
L-17.1,UD4,2,0.0,10
L-17.1,UD5,38,39.47,10
L-17.1,CD2,25,20.0,10
L-17.1,CD3,7,28.57,10
L-17.1,CD4,109,61.47,10
L-16.0,ID1,99,55.56,10
L-16.0,ID2,25,52.0,10
L-16.0,ID3,2,50.0,10
L-16.0,ID4,211,51.18,10
L-16.0,UD3,1,100.0,10
L-16.0,UD4,2,0.0,10
L-16.0,UD5,24,45.83,10
L-16.0,CD2,24,16.67,10
L-16.0,CD3,7,28.57,10
L-16.0,CD4,85,42.35,10
O-13.0,ID1,47,53.19,10
O-13.0,ID2,16,56.25,10
O-13.0,ID4,91,48.35,10
O-12.0,ID1,36,50.0,10
O-12.0,ID2,11,45.45,10
O-12.0,ID3,1,100.0,10
O-12.0,ID4,84,45.24,10
O-12.0,UD3,1,0.0,10
O-12.0,UD5,2,50.0,10
O-12.0,CD1,2,50.0,10
O-12.0,CD3,2,100.0,10
O-12.0,CD4,36,47.22,10
O-11,ID1,170,51.18,10
O-11,ID2,28,32.14,10
O-11,ID3,1,100.0,10
O-11,ID4,318,51.57,10
O-11,UD3,9,55.56,10
O-11,UD4,2,0.0,10
O-11,UD5,25,52.0,10
O-11,CD1,6,33.33,10
O-11,CD2,26,19.23,10
O-11,CD3,32,56.25,10
O-11,CD4,217,56.68,10
O-10,ID1,119,44.54,10
O-10,ID2,21,42.86,10
O-10,ID3,2,100.0,10
O-10,ID4,202,47.52,10
O-10,UD3,3,33.33,10
O-10,UD4,2,0.0,10
O-10,UD5,15,46.67,10
O-10,CD1,4,25.0,10
O-10,CD2,16,25.0,10
O-10,CD3,11,36.36,10
O-10,CD4,76,46.05,10
O-9,ID1,95,49.47,10
O-9,ID2,18,38.89,10
O-9,ID3,2,100.0,10
O-9,ID4,150,54.67,10
O-9,UD3,3,66.67,10
O-9,UD4,2,0.0,10
O-9,UD5,3,0.0,10
O-9,CD1,5,20.0,10
O-9,CD2,11,9.09,10
O-9,CD3,11,36.36,10
O-9,CD4,64,42.19,10
I-E,ID1,675,54.96,10
I-E,ID2,44,65.91,10
I-E,ID3,23,86.96,10
I-E,ID4,1141,43.65,10
I-E,UD1,2010,42.53,10
I-E,UD3,81,80.25,10
I-E,UD4,13,76.92,10
I-E,UD5,358,56.73,10
I-E,CD3,243,61.07,10
I-E,CD4,1214,49.27,10
I-D,ID1,799,52.57,10
I-D,ID2,80,70.0,10
I-D,ID3,27,92.59,10
I-D,ID4,1311,42.64,10
I-D,UD1,2048,43.53,10
I-D,UD3,107,77.57,10
I-D,UD4,13,76.92,10
I-D,UD5,366,55.91,10
I-D,CD3,321,62.63,10
I-D,CD4,1284,48.13,10
I-C,ID1,778,52.96,10
I-C,ID2,76,71.05,10
I-C,ID3,27,92.59,10
I-C,ID4,1285,42.88,10
I-C,UD1,1985,43.84,10
I-C,UD3,106,78.3,10
I-C,UD4,13,76.92,10
I-C,UD5,356,54.89,10
I-C,CD3,309,62.5,10
I-C,CD4,1242,48.29,10
I-B,ID1,772,51.81,10
I-B,ID2,89,67.42,10
I-B,ID3,30,90.0,10
I-B,ID4,1317,41.84,10
I-B,UD1,1946,42.38,10
I-B,UD3,93,75.27,10
I-B,UD4,12,75.0,10
I-B,UD5,333,53.18,10
I-B,CD3,304,59.68,10
I-B,CD4,1203,47.89,10
I-A,ID1,673,51.41,10
I-A,ID2,70,74.29,10
I-A,ID3,23,82.61,10
I-A,ID4,1136,41.02,10
I-A,UD1,1305,41.52,10
I-A,UD3,82,81.71,10
I-A,UD4,12,66.67,10
I-A,UD5,165,50.96,10
I-A,CD3,246,58.33,10
I-A,CD4,984,48.37,10
