,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
79,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/qs/QSPanelController.java,[],3,1,"[(32, 34, 3)]"
80,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java,[],29,2,"[(347, 357, 11), (2315, 2332, 18)]"
81,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,core/java/android/app/StatusBarManager.java,[],1,1,"[(233, 233, 1)]"
82,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,services/core/java/com/android/server/power/PowerManagerService.java,[],8,1,"[(1502, 1509, 8)]"
83,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManager.java,[],140,18,"[(405, 456, 52), (493, 496, 4), (536, 541, 6), (558, 562, 5), (615, 618, 4), (623, 629, 7), (731, 734, 4), (844, 850, 7), (1117, 1127, 11), (1292, 1295, 4), (1311, 1314, 4), (1360, 1363, 4), (1447, 1450, 4), (1490, 1494, 5), (1501, 1505, 5), (1512, 1516, 5), (1524, 1527, 4), (1535, 1539, 5)]"
84,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/qs/QSPanel.java,[],0,1,"[(0, 0, 0)]"
85,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/shade/NotificationPanelViewController.java,[],227,7,"[(51, 51, 1), (77, 77, 1), (298, 319, 22), (358, 360, 3), (797, 815, 19), (4216, 4394, 179), (4830, 4831, 2)]"
86,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java,[],4,1,"[(161, 164, 4)]"
87,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityView.java,[],0,1,"[(0, 0, 0)]"
88,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/tuner/TunerActivity.java,[],9,1,"[(69, 77, 9)]"
89,1ab0b23a1d46b60a76015f090ada435f10bc9ecd,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationIconContainer.java,[],5,1,"[(143, 147, 5)]"
90,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/keyguard/NumPadKey.java,[],3,1,"[(40, 42, 3)]"
91,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,[],2,2,"[(760, 760, 1), (795, 795, 1)]"
92,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/systemui/statusbar/connectivity/MobileSignalController.java,[],1,1,"[(274, 274, 1)]"
93,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,core/java/android/provider/Settings.java,[],9,1,"[(10823, 10831, 9)]"
94,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/systemui/statusbar/policy/BluetoothControllerImpl.java,[],18,1,"[(326, 343, 18)]"
95,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarView.java,[],2,1,"[(85, 86, 2)]"
