,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
50,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java,[],9,5,"[(205, 206, 2), (229, 230, 2), (241, 242, 2), (556, 557, 2), (669, 669, 1)]"
51,8bcec894e0ac789c47344ae917ba3613c0b84d98,core/java/com/android/internal/view/RotationPolicy.java,[],2,1,"[(113, 114, 2)]"
52,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialogLite.java,[],4,2,"[(24, 25, 2), (1172, 1173, 2)]"
53,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java,[],6,1,"[(307, 312, 6)]"
54,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/theme/ThemeOverlayController.java,[],13,2,"[(383, 391, 9), (592, 595, 4)]"
55,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/statusbar/phone/dagger/StatusBarViewModule.java,[],2,1,"[(34, 35, 2)]"
56,8bcec894e0ac789c47344ae917ba3613c0b84d98,services/core/java/com/android/server/accounts/AccountManagerService.java,[],1,1,"[(4945, 4945, 1)]"
57,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/qs/customize/QSCustomizer.java,[],6,1,"[(80, 85, 6)]"
58,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/qs/tiles/InternetTile.java,[],3,1,"[(257, 259, 3)]"
59,8bcec894e0ac789c47344ae917ba3613c0b84d98,core/java/android/hardware/Camera.java,[],4,1,"[(344, 347, 4)]"
60,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/battery/BatteryMeterView.java,[],7,2,"[(40, 41, 2), (212, 216, 5)]"
61,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/statusbar/NotificationMediaManager.java,[],1,1,"[(192, 192, 1)]"
62,8bcec894e0ac789c47344ae917ba3613c0b84d98,services/core/java/com/android/server/wm/ActivityRecord.java,[],4,1,"[(8918, 8921, 4)]"
63,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/CentralSurfacesImplTest.java,[],2,2,"[(301, 301, 1), (510, 510, 1)]"
64,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/statusbar/phone/fragment/CollapsedStatusBarFragment.java,[],11,3,"[(51, 51, 1), (146, 148, 3), (462, 468, 7)]"
65,8bcec894e0ac789c47344ae917ba3613c0b84d98,core/tests/screenshothelpertests/src/com/android/internal/util/ScreenshotHelperTest.java,[],4,2,"[(20, 20, 1), (88, 90, 3)]"
66,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/recents/ScreenPinningRequest.java,[],5,2,"[(19, 21, 3), (273, 274, 2)]"
67,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/AutoTileManagerTest.java,[],2,4,"[(0, 0, 0), (523, 523, 1), (540, 540, 1), (0, 0, 0)]"
68,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/shade/NotificationShadeWindowControllerImpl.java,[],3,1,"[(372, 374, 3)]"
69,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/statusbar/phone/CentralSurfacesImpl.java,[],1,1,"[(774, 774, 1)]"
70,8bcec894e0ac789c47344ae917ba3613c0b84d98,services/core/java/com/android/server/policy/PhoneWindowManager.java,[],6,2,"[(698, 700, 3), (3347, 3349, 3)]"
71,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/statusbar/phone/AutoTileManager.java,[],1,1,"[(282, 282, 1)]"
72,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/shade/NotificationPanelViewController.java,[],76,4,"[(372, 372, 1), (811, 812, 2), (901, 902, 2), (2490, 2560, 71)]"
73,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/statusbar/dagger/CentralSurfacesDependenciesModule.java,[],2,2,"[(108, 108, 1), (157, 157, 1)]"
74,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SettingsLib/IllustrationPreference/src/com/android/settingslib/widget/IllustrationPreference.java,[],1,1,"[(122, 122, 1)]"
75,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarController.java,[],8,7,"[(0, 0, 0), (95, 95, 1), (138, 139, 2), (145, 147, 3), (246, 246, 1), (0, 0, 0), (498, 498, 1)]"
76,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarView.java,[],28,1,"[(355, 382, 28)]"
77,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/statusbar/phone/ScrimController.java,[],1,1,"[(321, 321, 1)]"
78,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/tests/src/com/android/systemui/qs/QSTileHostTest.java,[],0,1,"[(0, 0, 0)]"
79,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/qs/QSTileHost.java,[],19,1,"[(637, 655, 19)]"
80,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeaderController.java,[],73,5,"[(19, 27, 9), (69, 79, 11), (85, 111, 27), (116, 137, 22), (142, 145, 4)]"
81,8bcec894e0ac789c47344ae917ba3613c0b84d98,packages/SystemUI/src/com/android/systemui/screenshot/ImageExporter.java,[],3,1,"[(155, 157, 3)]"
82,8bcec894e0ac789c47344ae917ba3613c0b84d98,services/usb/java/com/android/server/usb/UsbDeviceManager.java,[],3,1,"[(943, 945, 3)]"
